Salary,Salary Range,yrs of experience,Available_Budget_Salary_Alignment,Available_Budget_Salary_increase,err,err_YOE,Normalize Err,Normalize Err_YOE,Total Salary increase,new Salary
67298,82627,4,1032.347270848233,720.0,15329,61316,0.5317953165654814,0.20161645655361993,1752.347270848233,69050.34727084823
80450,77335,8,0.0,720.0,-3115,-24920,-0.10806591500433652,-0.08194080007365465,720.0,81170.0
68672,78439,8,1315.5373206829788,720.0,9767,78136,0.33883781439722466,0.25692320844924077,2035.5373206829788,70707.53732068298
73367,76971,13,788.8240317989008,720.0,3604,46852,0.12503035559410233,0.15405659570830127,1508.8240317989007,74875.8240317989
65444,77934,10,2102.87973985492,720.0,12490,124900,0.43330442324371204,0.4106904465970893,2822.87973985492,68266.87973985492
82826,76582,11,0.0,720.0,-6244,-68684,-0.2166175195143105,-0.22584357593334253,720.0,83546.0
82991,84808,14,0.0,720.0,1817,25438,0.06303555941023417,0.08364406389541039,720.0,83711.0
82892,76210,12,0.0,720.0,-6682,-80184,-0.23181266261925412,-0.26365734803795843,720.0,83612.0
64634,77098,3,629.5506744007621,720.0,12464,37392,0.4324024284475282,0.12295065795963463,1349.550674400762,65983.55067440076
61996,82889,7,2462.356003470952,720.0,20893,146251,0.7248222029488292,0.4808958247019288,3182.356003470952,65178.35600347095
61140,80959,7,2335.7791429086683,720.0,19819,138733,0.6875628794449263,0.4561754822077982,3055.7791429086683,64195.779142908665
66143,80900,5,1242.2816781841095,720.0,14757,73785,0.5119514310494363,0.24261644997731174,1962.2816781841095,68105.28167818411
80666,75082,12,0.0,720.0,-5584,-67008,-0.19372072853425845,-0.2203326296683568,720.0,81386.0
62916,82942,3,1011.5036750280537,720.0,20026,60078,0.6947441457068517,0.19754572178270563,1731.5036750280537,64647.503675028056
68492,77424,9,1353.4531347274408,720.0,8932,80388,0.30986990459670427,0.2643281314735534,2073.4531347274406,70565.45313472745
75446,76674,14,0.0,720.0,1228,17192,0.042601908065915,0.056529945219352756,720.0,76166.0
74800,75902,11,0.0,720.0,1102,12122,0.038230702515177795,0.03985900395236122,720.0,75520.0
55962,84787,9,4367.810860783528,720.0,28825,259425,1.0,0.8530293763686941,5087.810860783528,61049.81086078353
81689,82529,13,0.0,720.0,840,10920,0.029141370338248047,0.03590664272890485,720.0,82409.0
72442,77920,7,645.6127021975724,720.0,5478,38346,0.19004336513443193,0.12608755696726973,1365.6127021975724,73807.61270219757
73325,77843,10,760.6733918866718,720.0,4518,45180,0.15673894189071985,0.14855880205969973,1480.6733918866717,74805.67339188667
